"","Parcel_Num","Property_C","Property_S","Inventory_","Zoned_As","Address1","City","Neighborho","Longitude","Latitude","Council_Di","Area_Plann","Square_Foo","Business_I","Community_","Building_N","LA_County_","LA_County1","PIN","County_Ass","County_A_1","coords.x1","coords.x2","optional"
"649",4128018911,"vacant land","Owned","Airports",NA,"9831 GLASGOW PL","LOS ANGELES",NA,-118.372879,33.9467087,4,"None",7157.868333,"None",NA,NA,4128018911,NA,NA,NA,NA,-118.372879,33.9467087,TRUE
"650",4128015907,"vacant land","Owned","Airports",NA,"9624 HINDRY PL","LOS ANGELES",NA,-118.3722534,33.9485245,4,"None",6621.262593,"None",NA,NA,4128015907,NA,NA,NA,NA,-118.3722534,33.9485245,TRUE
"651",2401004901,"vacant land","Surplus-Undeclared","General Services","A2-1&K","8754 W LA TUNA CANYON RD","SUN VALLEY",NA,-118.315604,34.234928,14,"North Valley",1566.861526,NA,NA,"Vacant Land",2401004901,NA,NA,NA,NA,-118.315604,34.234928,TRUE
"652",5209030902,"vacant land","Owned","General Services",NA,"4281 HUNTINGTON DR S","LOS ANGELES",NA,-118.192955,34.0791473,7,"None",3617.6629,"None",NA,NA,5209030902,NA,"141A229   410",NA,NA,-118.192955,34.0791473,TRUE
"653",4128008928,"vacant land","Owned","Airports",NA,"5328 W 94TH ST","LOS ANGELES",NA,-118.3736343,33.9505615,4,"None",6366.5949,"None",NA,NA,4128008928,NA,NA,NA,NA,-118.3736343,33.9505615,TRUE
"654",4365002903,"vacant land","New","DWP",NA,"NONE","LOS ANGELES",NA,-118.4665513,34.07159595,4,NA,28167.9965,"None",NA,NA,4365002903,NA,NA,"L A CITY DEPT OF WATER AND POWER",NA,-118.4665513,34.07159595,TRUE
"655",4128018912,"vacant land","Owned","Airports",NA,"9847 GLASGOW PL","LOS ANGELES",NA,-118.3732071,33.9465408,4,"None",8649.64585,"None",NA,NA,4128018912,NA,NA,NA,NA,-118.3732071,33.9465408,TRUE
"656",4128008929,"vacant land","Owned","Airports",NA,"5351 W 95TH ST","LOS ANGELES",NA,-118.3743591,33.9502678,4,"None",6068.77735,"None",NA,NA,4128008929,NA,NA,NA,NA,-118.3743591,33.9502678,TRUE
"657",2401005900,"vacant land","Surplus-Undeclared","General Services","A2-1&K","8706 W LA TUNA CANYON RD","SUN VALLEY",NA,-118.314347,34.233804,14,"North Valley",78754.44606,NA,"Sunland-Tujunga-Lake Vw Ter-Shadow Hills-E La Tuna","Vacant Land",2401005900,NA,NA,NA,NA,-118.314347,34.233804,TRUE
"658",4128015909,"vacant land","Owned","Airports",NA,"9615 GLASGOW PL","LOS ANGELES",NA,-118.3717728,33.9488411,4,"None",6492.84745,"None",NA,NA,4128015909,NA,NA,NA,NA,-118.3717728,33.9488411,TRUE
